,일자,지역,사망자,확진자,전일대비,격리해제,격리중,지역발생,해외유입,10만명당
276,2020-03-19,경북,21,1190,12,0,0,0,0,44.69
277,2020-03-19,전남,0,5,0,0,0,0,0,0.27
278,2020-03-19,전북,0,10,1,0,0,0,0,0.55
279,2020-03-19,충남,0,118,0,0,0,0,0,5.56
280,2020-03-19,충북,0,33,1,0,0,0,0,2.06
281,2020-03-19,강원,1,30,0,0,0,0,0,1.95
282,2020-03-19,경기,3,295,18,0,0,0,0,2.23
283,2020-03-19,세종,0,41,0,0,0,0,0,11.98
284,2020-03-19,울산,0,36,6,0,0,0,0,3.14
285,2020-03-19,대전,0,22,0,0,0,0,0,1.49
286,2020-03-19,광주,0,17,0,0,0,0,0,1.17
287,2020-03-19,인천,0,32,0,0,0,0,0,1.08
288,2020-03-19,대구,65,6241,97,0,0,0,0,256.15
289,2020-03-19,부산,1,107,0,0,0,0,0,3.14
290,2020-03-19,서울,0,282,12,0,0,0,0,2.9
291,2020-03-19,합계,91,8565,152,0,0,0,0,16.52
292,2020-03-20,검역,0,17,1,0,0,0,0,0.0
293,2020-03-20,제주,0,4,0,0,0,0,0,0.6
294,2020-03-20,경남,0,87,1,0,0,0,0,2.59
295,2020-03-20,경북,22,1203,13,0,0,0,0,45.18
296,2020-03-20,전남,0,5,0,0,0,0,0,0.27
297,2020-03-20,전북,0,10,0,0,0,0,0,0.55
298,2020-03-20,충남,0,119,1,0,0,0,0,5.61
299,2020-03-20,충북,0,33,0,0,0,0,0,2.06
300,2020-03-20,강원,1,30,0,0,0,0,0,1.95
301,2020-03-20,경기,3,309,14,0,0,0,0,2.33
302,2020-03-20,세종,0,41,0,0,0,0,0,11.98
303,2020-03-20,울산,0,36,0,0,0,0,0,3.14
304,2020-03-20,대전,0,22,0,0,0,0,0,1.49
305,2020-03-20,광주,0,18,1,0,0,0,0,1.24
306,2020-03-20,인천,0,36,4,0,0,0,0,1.22
307,2020-03-20,대구,67,6275,34,0,0,0,0,257.54
308,2020-03-20,부산,1,108,1,0,0,0,0,3.17
309,2020-03-20,서울,0,299,17,0,0,0,0,3.07
310,2020-03-20,합계,94,8652,87,0,0,0,0,16.69
311,2020-03-21,검역,0,23,6,0,0,0,0,0.0
312,2020-03-21,제주,0,4,0,0,0,0,0,0.6
313,2020-03-21,경남,0,87,0,0,0,0,0,2.59
314,2020-03-21,경북,24,1243,40,0,0,0,0,46.69
315,2020-03-21,전남,0,5,0,0,0,0,0,0.27
316,2020-03-21,전북,0,10,0,0,0,0,0,0.55
317,2020-03-21,충남,0,119,0,0,0,0,0,5.61
318,2020-03-21,충북,0,34,1,0,0,0,0,2.13
319,2020-03-21,강원,1,30,0,0,0,0,0,1.95
320,2020-03-21,경기,3,321,12,0,0,0,0,2.42
321,2020-03-21,세종,0,41,0,0,0,0,0,11.98
322,2020-03-21,울산,0,36,0,0,0,0,0,3.14
323,2020-03-21,대전,0,22,0,0,0,0,0,1.49
324,2020-03-21,광주,0,18,0,0,0,0,0,1.24
325,2020-03-21,인천,0,40,4,0,0,0,0,1.35
326,2020-03-21,대구,73,6344,69,0,0,0,0,260.37
327,2020-03-21,부산,1,108,0,0,0,0,0,3.17
328,2020-03-21,서울,0,314,15,0,0,0,0,3.23
329,2020-03-21,합계,102,8799,147,0,0,0,0,16.97
330,2020-03-22,검역,0,34,11,0,0,0,0,0.0
331,2020-03-22,제주,0,4,0,0,0,0,0,0.6
332,2020-03-22,경남,0,88,1,0,0,0,0,2.62
333,2020-03-22,경북,24,1254,11,0,0,0,0,47.1
334,2020-03-22,전남,0,6,1,0,0,0,0,0.32
335,2020-03-22,전북,0,10,0,0,0,0,0,0.55
336,2020-03-22,충남,0,120,1,0,0,0,0,5.65
337,2020-03-22,충북,0,35,1,0,0,0,0,2.19
338,2020-03-22,강원,1,30,0,0,0,0,0,1.95
