,이름,주소,가격,셀프,상표,구,lat,lng,거리
216,㈜지에스이앤알 모드니주유소,서울 영등포구 경인로 789,1359.0,N,GS칼텍스,영등포구,37.5146713027948,126.900727819773,2.0388926676349417
217,보라주유소,서울 영등포구 영등포로 399 (신길동),1368.0,N,GS칼텍스,영등포구,37.5135821203562,126.922724761096,2.775989545989248
218,지에스칼텍스㈜ 화일주유소,서울 영등포구 도림로 415,1369.0,Y,GS칼텍스,영등포구,37.5132569564825,126.89648174992,2.2582706237264913
219,남서울고속주유소,서울 영등포구 가마산로 367 (대림동),1369.0,Y,SK에너지,영등포구,37.5016177485726,126.898733536976,3.500636395597191
220,현대오일뱅크㈜직영 영등포제일셀프주유소,서울 영등포구 가마산로 379,1387.0,Y,현대오일뱅크,영등포구,37.5024020673961,126.899464416873,3.4076766553406856
221,한경석유(주)경덕주유소,서울 영등포구 여의대방로23길 2 (신길동),1388.0,Y,SK에너지,영등포구,37.4983819172602,126.919783311181,4.122316411074086
222,한일주유소,서울 영등포구 도림로 486 (문래동3가),1390.0,N,SK에너지,영등포구,37.5169858880877,126.889850537106,2.110608519415223
223,씨앤에스유통 한성주유소,서울 영등포구 여의대방로 227,1395.0,N,S-OIL,영등포구,37.5072579156295,126.922915747543,3.3595045862817057
224,SK에너지(주) 기린주유소,서울 영등포구 선유로 270,1398.0,Y,SK에너지,영등포구,37.5363321621978,126.898774299929,0.520724098188435
225,(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),1398.0,Y,GS칼텍스,영등포구,37.5355248902398,126.897964946369,0.5172117575134227
226,SK에너지(주) 신길동주유소,서울 영등포구 영등포로 348 (신길동),1399.0,N,SK에너지,영등포구,37.5152502056697,126.916966967146,2.327819747485719
227,현대오일뱅크(주)직영 영등포현대셀프,서울 영등포구 경인로 822 (영등포동),1399.0,Y,현대오일뱅크,영등포구,37.5153291566595,126.904480819754,1.962644668825649
