,이름,주소,가격,셀프,상표,구
430,(주)소모에너지엔테크놀러지 수락산주유소,서울 노원구 동일로 1772,1419.0,Y,GS칼텍스,노원구
431,신성주유소,서울 노원구 월계로 328 (월계동),1428.0,Y,S-OIL,노원구
432,현대오일뱅크㈜직영 하계주유소,서울 노원구 노원로17길 29 (하계동),1429.0,N,현대오일뱅크,노원구
433,노원주유소,서울 노원구 동일로 1008 (공릉동),1439.0,N,GS칼텍스,노원구
434,하계삼호주유소,서울 노원구 공릉로 294 (하계동),1470.0,N,GS칼텍스,노원구
435,상계동주유소,서울 노원구 노원로26길 191 (상계동),1480.0,N,현대오일뱅크,노원구
436,도봉제일주유소(주)송만에너지,서울 도봉구 도봉로 783 (도봉동),1325.0,N,현대오일뱅크,도봉구
437,지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),1330.0,Y,GS칼텍스,도봉구
438,한이에너지(주)KLP제1주유소,서울 도봉구 도봉로 596 (창동),1335.0,N,현대오일뱅크,도봉구
439,삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),1337.0,Y,SK에너지,도봉구
440,정다운셀프주유소, 서울특별시 도봉구 도봉로 635 (쌍문동),1345.0,Y,SK에너지,도봉구
441,극동유화(주)대안주유소,서울 도봉구 마들로 574 (창동),1345.0,Y,S-OIL,도봉구
442,동일석유(주) 창동주유소,서울 도봉구  도봉로 434 (창동),1357.0,Y,SK에너지,도봉구
443,쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),1359.0,Y,S-OIL,도봉구
444,현대오일뱅크㈜직영 도봉현대셀프주유소,서울 도봉구 도봉로 941 (도봉동),1360.0,Y,현대오일뱅크,도봉구
445,구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),1369.0,Y,S-OIL,도봉구
446,서현주유소,서울 도봉구 방학로 142 (방학동),1369.0,Y,S-OIL,도봉구
447,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,1369.0,Y,GS칼텍스,도봉구
448,노원교주유소,서울 도봉구 마들로 776 (도봉동),1373.0,Y,현대오일뱅크,도봉구
449,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),1387.0,N,GS칼텍스,도봉구
450,(주)쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),1395.0,Y,현대오일뱅크,도봉구
451,오복주유소,서울 도봉구 방학로 43,1418.0,Y,S-OIL,도봉구
452,현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,1419.0,N,현대오일뱅크,도봉구
453,창동제일주유소,서울 도봉구 해등로3길 86 (창동),1557.0,N,S-OIL,도봉구
454,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),1375.0,Y,SK에너지,강남구
455,GS칼텍스(주)직영 산성주유소,서울 강남구 헌릉로 730 (세곡동),1385.0,Y,GS칼텍스,강남구
456,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),1394.0,Y,SK에너지,강남구
457,방죽주유소,서울 강남구 밤고개로 215 (율현동),1399.0,Y,S-OIL,강남구
458,현대오일뱅크 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),1404.0,Y,현대오일뱅크,강남구
459,지에스칼텍스㈜ 주성주유소,서울 강남구 영동대로 716,1405.0,N,GS칼텍스,강남구
460,지에스칼텍스㈜ GS타워주유소,서울 강남구 논현로 516 (역삼동),1415.0,N,GS칼텍스,강남구
461,SK에너지(주) 매봉주유소,서울 강남구 언주로 307,1415.0,Y,SK에너지,강남구
462,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,1415.0,N,GS칼텍스,강남구
463,SK서광주유소,서울 강남구 역삼로 142 (역삼동),1415.0,Y,SK에너지,강남구
464,에쓰-오일㈜직영 개나리주유소,서울 강남구 언주로 423 (역삼동),1415.0,N,S-OIL,강남구
465,역삼주유소,서울 강남구 역삼로 205 (역삼동),1415.0,N,GS칼텍스,강남구
466,현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),1418.0,N,현대오일뱅크,강남구
467,SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,1419.0,N,SK에너지,강남구
468,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),1419.0,N,S-OIL,강남구
469,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,1435.0,Y,SK에너지,강남구
470,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),1441.0,Y,GS칼텍스,강남구
471,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),1453.0,Y,SK에너지,강남구
472,현대오일뱅크㈜직영 삼성동주유소,서울 강남구 테헤란로 619 (삼성동),1461.0,N,현대오일뱅크,강남구
473,현대오일뱅크㈜직영 오천주유소,서울 강남구 봉은사로 503 (삼성동),1461.0,N,현대오일뱅크,강남구
474,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),1468.0,Y,SK에너지,강남구
475,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),1468.0,Y,SK에너지,강남구
476,일원주유소,서울 강남구 양재대로55길 3 (일원동),1469.0,Y,S-OIL,강남구
477,에스제이에너지산업(주) 개포주유소,서울 강남구 양재대로 339,1498.0,N,GS칼텍스,강남구
478,논현동주유소,서울 강남구 학동로 229 (논현동),1527.0,Y,GS칼텍스,강남구
479,대교주유소,서울 강남구 강남대로 640 (신사동),1550.0,N,SK에너지,강남구
480,현대오일뱅크(주)직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),1586.0,N,현대오일뱅크,강남구
481,현대오일뱅크(주)직영 한양주유소,서울 강남구 압구정로 302 (신사동),1638.0,N,현대오일뱅크,강남구
482,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,1657.0,N,현대오일뱅크,강남구
483,명품주유소,서울 강남구 도곡로 249 (역삼동),1698.0,N,S-OIL,강남구
484,대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,1777.0,N,GS칼텍스,강남구
485,SK논현주유소,서울 강남구 논현로 747 (논현동),1788.0,N,SK에너지,강남구
486,대청주유소,서울 강남구 개포로 654 (일원동),1789.0,N,SK에너지,강남구
487,경원주유소,서울 강남구 도산대로 428 (청담동),1845.0,N,S-OIL,강남구
488,갤러리아주유소,서울 강남구 압구정로 426 (청담동),1848.0,N,SK에너지,강남구
489,학여울주유소,서울 강남구  남부순환로 3170 (일원2동),1868.0,N,GS칼텍스,강남구
490,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),1869.0,N,GS칼텍스,강남구
491,(주)소모에너지엔테크놀러지 쎈트럴주유소,서울 강남구 삼성로 335 (대치동),1883.0,N,GS칼텍스,강남구
492,뉴서울(강남),서울 강남구 언주로 716 (논현동),2025.0,N,SK에너지,강남구
