광역시도,시도,20~39세계,20~39세남자,20~39세여자,65세 이상계,65세 이상남자,65세 이상여자,인구수계,인구수남자,인구수여자,소멸 비율,소멸 위기 지역
전남, 진도군,3887,2148,1739,9188,3685,5503,26956,13233,13723,0.1892686112320418,True
전남, 함평군,3847,2119,1728,10199,4109,6090,27888,13806,14082,0.1694283753309148,True
전남, 해남군,9221,4701,4520,19832,8150,11682,61147,29830,31317,0.22791448164582492,True
전남, 화순군,9692,4855,4837,14657,5779,8878,55338,26670,28668,0.3300129630893089,True
전북, 고창군,7410,3959,3451,16964,6851,10113,49705,24257,25448,0.20343079462390945,True
전북, 군산시,58341,30261,28080,44223,19452,24771,253097,126535,126562,0.6349637066684757,False
전북, 김제시,12643,6623,6020,23275,9495,13780,75211,36619,38592,0.2586466165413534,True
전북, 남원시,12442,6350,6092,20231,8295,11936,73845,35836,38009,0.30112204043299884,True
전북, 무주군,3071,1622,1449,7291,3001,4290,21857,10779,11078,0.19873817034700317,True
전북, 부안군,7273,3861,3412,15492,6425,9067,47159,23144,24015,0.22024270591272915,True
전북, 순창군,3732,1790,1942,8467,3373,5094,25304,12130,13174,0.22936104877760718,True
전북, 완주군,19047,9954,9093,18469,8028,10441,86410,43862,42548,0.4923385131842547,True
전북, 익산시,64767,34073,30694,49006,21185,27821,270779,134541,136238,0.6263314696159654,False
전북, 임실군,4078,2125,1953,8782,3657,5125,25064,12476,12588,0.22238670006832156,True
전북, 장수군,2972,1550,1422,6777,2807,3970,20084,9869,10215,0.2098273572377158,True
전북, 전주시,329916,165684,164232,176476,77800,98676,1256024,615044,640980,0.9306194610031959,False
전북, 정읍시,17454,9102,8352,27007,11097,15910,99749,49037,50712,0.30925315658903246,True
전북, 진안군,3123,1562,1561,7722,3289,4433,22048,10926,11122,0.20214970214970215,True
제주, 서귀포시,34640,17312,17328,31129,13284,17845,164899,82173,82726,0.5566513540428539,False
제주, 제주시,114518,57226,57292,61965,26514,35451,458548,227688,230860,0.9245864600984427,False
충남, 계룡시,8354,4243,4111,4456,1927,2529,40062,19798,20264,0.922576301615799,False
충남, 공주시,21079,11002,10077,24031,10464,13567,98934,49143,49791,0.41933336107527774,True
충남, 금산군,8222,4477,3745,14314,6113,8201,48333,24142,24191,0.2616319687019701,True
충남, 논산시,21283,11224,10059,27347,11591,15756,109021,53875,55146,0.3678282809814605,True
충남, 당진시,37981,21107,16874,27802,12320,15482,156610,81970,74640,0.6069347528954752,False
충남, 보령시,17433,9513,7920,23385,9981,13404,93070,46468,46602,0.33867864015394483,True
충남, 부여군,9004,4875,4129,20327,8693,11634,60848,29958,30890,0.20312884341024254,True
충남, 서산시,37824,20539,17285,29258,12817,16441,163658,83783,79875,0.5907785904709822,False
충남, 서천군,6788,3771,3017,17125,7210,9915,48065,23558,24507,0.17617518248175182,True
충남, 아산시,82081,42949,39132,37285,15927,21358,298717,152655,146062,1.0495373474587635,False
충남, 예산군,12312,6690,5622,22163,9585,12578,73032,36332,36700,0.25366601994314847,True
충남, 천안시,386522,197580,188942,126210,55172,71038,1253306,630630,622676,1.4970446081926947,False
충남, 청양군,4356,2427,1929,10023,4365,5658,28735,14435,14300,0.19245734809937146,True
충남, 태안군,9463,5341,4122,17252,7663,9589,57081,28668,28413,0.23892881984697426,True
충남, 홍성군,19959,10303,9656,21525,9143,12382,94962,46923,48039,0.4485946573751452,True
충북, 괴산군,5135,2976,2159,11428,5023,6405,34160,17360,16800,0.18892194609730487,True
충북, 단양군,3842,2096,1746,7955,3481,4474,26478,13293,13185,0.21948460087994973,True
충북, 보은군,4288,2339,1949,10025,4255,5770,29945,14864,15081,0.1944139650872818,True
충북, 영동군,7450,4056,3394,13433,5701,7732,44563,22177,22386,0.2526613563612,True
충북, 옥천군,7557,4027,3530,13177,5705,7472,46182,22957,23225,0.26789102223571376,True
충북, 음성군,18696,10207,8489,16864,7459,9405,85751,44540,41211,0.503379981024668,False
충북, 제천시,26688,14204,12484,26116,11618,14498,126666,63363,63303,0.47802113646806554,True
충북, 증평군,9059,4972,4087,5720,2460,3260,35464,18166,17298,0.7145104895104896,False
충북, 진천군,18978,10355,8623,12143,5177,6966,76197,39378,36819,0.7101210573993247,False
충북, 청주시,452216,236068,216148,200594,86836,113758,1605048,801804,803244,1.0775397070700021,False
충북, 충주시,47183,25700,21483,37574,16091,21483,201057,101311,99746,0.5717517432266993,False
