,일자,대륙,국가,확진자,사망자,사망률
735,2020-11-21,아시아,방글라데시,441159,6305,1.4291899292
736,2020-11-21,아시아,몰디브,12452,45,0.3613877288
737,2020-11-21,아시아,부탄,378,0,0.0
738,2020-11-21,아시아,인도네시아,483518,15600,3.2263535173
739,2020-11-21,아시아,파키스탄,365927,7248,1.980722931
740,2020-11-21,아시아,아프가니스탄,44228,1650,3.7306683548
741,2020-11-21,아시아,스리랑카,18841,73,0.3874528952
742,2020-11-21,아시아,네팔,215020,1276,0.593433169
743,2020-11-21,아시아,캄보디아,304,0,0.0
744,2020-11-21,아시아,필리핀,413430,7998,1.9345475654
745,2020-11-21,아시아,인도,9004365,132162,1.4677548055
746,2020-11-21,아시아,베트남,1304,35,2.6840490797
747,2020-11-21,아시아,말레이시아,51680,326,0.6308049535
748,2020-11-21,아시아,태국,3892,60,1.5416238437
